epoch,train_loss,train_cindex,test_loss,test_cindex
0,2.9965611934661864,0.8179515546756725,3.0946218967437744,0.7705914870093975
1,2.8187242984771728,0.8394375218353325,3.0147297382354736,0.7833056937534549
2,2.679246950149536,0.846745079771748,2.9105608463287354,0.7888336097291321
3,2.5578418016433715,0.8524804937696518,2.8074991703033447,0.8015478164731896
4,2.484614038467407,0.8659019448002795,2.7193257808685303,0.8120508568269762
5,2.3797795295715334,0.8824094561546524,2.633746385574341,0.8302929795467109
6,2.2804893255233765,0.8989169675090253,2.5563156604766846,0.853510226644555
7,2.1796805381774904,0.9125131011994876,2.478511333465576,0.8739635157545605
8,2.1140325546264647,0.9207814137649936,2.3976833820343018,0.8888888888888888
9,1.986536478996277,0.9323686968673577,2.320199489593506,0.8988391376451078
10,1.989206075668335,0.9452369861418424,2.223726987838745,0.9148700939745716
11,1.9490680694580078,0.94954582508443,2.153412342071533,0.9154228855721394
12,1.860128927230835,0.9528939093979271,2.113584280014038,0.9126589275843007
13,1.749710988998413,0.9577850238732969,2.0598535537719727,0.9170812603648425
14,1.698566770553589,0.9588913473855829,2.0290911197662354,0.9154228855721394
15,1.6770397663116454,0.9652381506929079,1.95895254611969,0.9292426755113322
16,1.5678109407424927,0.9650634680330733,1.9271787405014038,0.9353233830845771
17,1.561467719078064,0.9676254803773146,1.8744354248046875,0.9441680486456606
18,1.500397276878357,0.9727495050657972,1.8015873432159424,0.9508015478164732
19,1.470000410079956,0.9741469663444742,1.7643460035324097,0.9552238805970149
20,1.4678534507751464,0.9726039361826017,1.8142139911651611,0.9447208402432283
21,1.4624082088470458,0.9737102596948877,1.8116744756698608,0.9380873410724156
22,1.4554827451705932,0.9718178642133457,1.724066138267517,0.9430624654505252
23,1.3966480255126954,0.9757191102829859,1.68180513381958,0.9541182974018795
24,1.3652759432792663,0.9777570746477233,1.5890181064605713,0.9624101713653952
25,1.3656919479370118,0.9755444276231513,1.5692533254623413,0.9585406301824212
26,1.4276946783065796,0.9743216490043088,1.5650827884674072,0.9590934217799889
27,1.269124412536621,0.9746127867706998,1.5425148010253906,0.9579878385848535
28,1.363021731376648,0.977960871084197,1.5307215452194214,0.960751796572692
29,1.3322192788124085,0.9786304879468964,1.5641642808914185,0.9601990049751243
